taxi_id;indulas;idotartam;tavolsag;viteldij;borravalo;fizetes_modja
5240;2016.12.15 23:45;900;2,5;10,75;2,45;bankkártya
1215;2016.12.12 7:15;240;0,4;5;3;bankkártya
3673;2016.12.16 16:30;2400;10,7;31;0;készpénz
5400;2016.12.16 8:45;300;0;5,25;2;bankkártya
1257;2016.12.03 18:45;360;0,3;5;0;készpénz
4666;2016.12.30 18:00;2400;18,2;46,75;10,15;bankkártya
5998;2016.12.16 7:15;1800;18,4;45;11,25;bankkártya
2538;2016.12.31 17:15;540;0;6,75;0;készpénz
6594;2016.12.17 12:00;153;0,47;4,5;1;bankkártya
7864;2016.12.03 19:45;780;2,4;10,5;2;bankkártya
400;2016.12.06 15:30;3120;10,9;31,75;7,93;bankkártya
6482;2016.12.09 9:30;660;1,32;7,75;2;bankkártya
5856;2016.12.29 18:45;300;0;5,25;0;készpénz
7211;2016.12.12 22:30;1320;14,1;36;0;készpénz
1094;2016.12.10 21:00;540;1,4;6,75;4;bankkártya
6591;2016.12.22 22:45;480;1,7;7,75;0;készpénz
6514;2016.12.30 11:00;480;1,5;7,5;0;készpénz
8267;2016.12.17 4:15;360;1,9;7,75;4;bankkártya
8002;2016.12.19 12:15;300;0,9;6;2;bankkártya
2718;2016.12.19 10:15;1920;5,6;18,75;0;készpénz
4261;2016.12.27 18:45;780;4,4;14,5;0;készpénz
3449;2016.12.02 17:15;60;0;3,25;0;készpénz
6710;2016.12.07 23:15;1200;1;43;11,75;bankkártya
2605;2016.12.09 19:00;480;0,3;4,75;0;készpénz
1098;2016.12.30 12:45;660;0;14,5;2;bankkártya
3514;2016.12.09 9:15;600;0;10,75;0;készpénz
5846;2016.12.19 22:30;360;0,8;6;2;bankkártya
4126;2016.12.01 22:15;720;2,9;11;2,2;bankkártya
1369;2016.12.20 15:15;2160;17,4;43,5;0;készpénz
3018;2016.12.14 21:00;240;1,1;5,75;1;bankkártya
6729;2016.12.19 19:15;1800;9,6;26,75;6,15;bankkártya
5687;2016.12.06 12:45;900;0,1;10;0;készpénz
7578;2016.12.30 22:15;660;2,4;9,75;0;készpénz
2643;2016.12.01 23:45;180;0;4,25;0;készpénz
4359;2016.12.13 19:00;780;0;7,5;0;készpénz
945;2016.12.09 20:00;840;2,2;10,25;2;bankkártya
5114;2016.12.13 18:15;5100;0;48,75;6;bankkártya
5930;2016.12.01 13:15;540;1,3;7;0;készpénz
5149;2016.12.26 18:30;1980;5,3;20,75;4,15;bankkártya
3465;2016.12.30 12:45;240;0;5;0;készpénz
5579;2016.12.16 23:00;360;0,86;6;0;készpénz
8397;2016.12.15 14:00;335;0;5;0;készpénz
2643;2016.12.07 17:30;3540;0;42,75;6;bankkártya
4586;2016.12.31 3:30;300;1,2;6,5;0;készpénz
6852;2016.12.27 5:30;360;1,8;7,75;0;készpénz
4219;2016.12.15 12:30;244;0,61;5;2;bankkártya
4849;2016.12.07 12:00;60;0;3,25;0;készpénz
4069;2016.12.04 2:15;1680;7,2;3,25;0;készpénz
4705;2016.12.08 10:45;660;1,3;8;2;bankkártya
2685;2016.12.02 17:15;1140;2;11;0;készpénz
6361;2016.12.10 14:15;360;0,8;6;0;készpénz
6940;2016.12.04 11:30;300;0,8;5,5;0;készpénz
5571;2016.12.14 8:15;960;2,1;10,25;0;készpénz
7303;2016.12.08 18:00;900;1,1;9,75;2;bankkártya
5149;2016.12.10 19:30;1080;7,4;21;10;bankkártya
747;2016.12.03 16:30;1200;1,4;10,75;0;készpénz
772;2016.12.17 18:30;458;1,61;7,25;4;bankkártya
3165;2016.12.01 13:15;360;1,8;7,75;3;bankkártya
945;2016.12.20 20:15;1560;15,4;39,25;7,85;bankkártya
6043;2016.12.14 19:00;1680;2;14;0;készpénz
733;2016.12.06 15:15;300;0,5;5,5;2;bankkártya
7744;2016.12.14 8:15;540;1,8;8,25;2;bankkártya
316;2016.12.02 21:45;840;0,7;8,25;0;készpénz
8350;2016.12.01 5:45;360;1,3;6,75;0;készpénz
4342;2016.12.22 17:15;420;0,7;5,75;0;készpénz
7891;2016.12.18 21:15;660;3,5;12,25;2,55;bankkártya
2819;2016.12.26 22:15;240;0;5,5;0;készpénz
5138;2016.12.10 23:15;840;3,4;12;2;bankkártya
7323;2016.12.17 2:30;0;0;3,25;0;készpénz
1944;2016.12.20 11:30;360;1,1;6,5;0;készpénz
5349;2016.12.26 3:00;960;5,5;17;0;készpénz
7063;2016.12.11 0:15;360;1;6,5;2;bankkártya
4458;2016.12.03 13:00;240;1;5,75;0;készpénz
2556;2016.12.10 15:30;480;1,9;8,75;0;készpénz
6669;2016.12.08 20:45;720;3,9;13;2,8;bankkártya
1750;2016.12.14 20:00;1140;9,27;25,25;0;készpénz
6023;2016.12.07 22:00;300;1;6;2;bankkártya
102;2016.12.10 18:30;406;0,9;6;0;készpénz
1587;2016.12.17 21:00;2220;0;44,5;5;bankkártya
